cons,old,new
DNK_C25,916,8
DNK_C26,917,8
DNK_C27,918,8
DNK_C28,919,8
DNK_C29,920,8
DNK_C30,921,8
DNK_C31T33,922,8
DNK_D,923,9
DNK_E,924,9
DNK_F,925,9
DNK_G,926,9
DNK_H49,927,9
DNK_H50,928,9
DNK_H51,929,9
DNK_H52,930,9
DNK_H53,931,9
DNK_I,932,9
DNK_J58T60,933,9
DNK_J61,934,9
DNK_J62_63,935,9
DNK_K,936,9
DNK_L,937,9
DNK_M,938,9
DNK_N,939,9
DNK_O,940,9
DNK_P,941,9
DNK_Q,942,9
DNK_R,943,9
DNK_S,944,9
DNK_T,945,9
EGY_A01_02,946,7
EGY_A03,947,7
EGY_B05_06,948,8
EGY_B07_08,949,8
EGY_B09,950,8
EGY_C10T12,951,8
EGY_C13T15,952,8
EGY_C16,953,8
EGY_C17_18,954,8
EGY_C19,955,8
EGY_C20,956,8
EGY_C21,957,8
EGY_C22,958,8
EGY_C23,959,8
EGY_C24,960,8
EGY_C25,961,8
EGY_C26,962,8
EGY_C27,963,8
EGY_C28,964,8
EGY_C29,965,8
EGY_C30,966,8
EGY_C31T33,967,8
EGY_D,968,9
EGY_E,969,9
EGY_F,970,9
EGY_G,971,9
EGY_H49,972,9
EGY_H50,973,9
EGY_H51,974,9
EGY_H52,975,9
EGY_H53,976,9
EGY_I,977,9
EGY_J58T60,978,9
EGY_J61,979,9
EGY_J62_63,980,9
EGY_K,981,9
EGY_L,982,9
EGY_M,983,9
EGY_N,984,9
EGY_O,985,9
EGY_P,986,9
EGY_Q,987,9
EGY_R,988,9
EGY_S,989,9
EGY_T,990,9
ESP_A01_02,991,7
ESP_A03,992,7
ESP_B05_06,993,8
ESP_B07_08,994,8
ESP_B09,995,8
ESP_C10T12,996,8
ESP_C13T15,997,8
ESP_C16,998,8
ESP_C17_18,999,8
ESP_C19,1000,8
ESP_C20,1001,8
ESP_C21,1002,8
ESP_C22,1003,8
ESP_C23,1004,8
ESP_C24,1005,8
ESP_C25,1006,8
ESP_C26,1007,8
ESP_C27,1008,8
ESP_C28,1009,8
ESP_C29,1010,8
ESP_C30,1011,8
ESP_C31T33,1012,8
ESP_D,1013,9
ESP_E,1014,9
ESP_F,1015,9
ESP_G,1016,9
ESP_H49,1017,9
ESP_H50,1018,9
ESP_H51,1019,9
